p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
CIITA,0.303626,0.0,null,0.457,null,XPO1,0.380816
CD79B,0.346212,0.4,null,0.292,null,SYK,0.538072
CD79B,0.346212,0.5,null,0.0,null,PTPN6,0.248021
CD79B,0.346212,0.4,null,0.0,null,SH3KBP1,0.208961
PRKAA1,0.466892,0.0,null,0.654,null,STIM2,0.205509
PRKAA1,0.466892,0.9,null,0.433,null,PRKAA2,0.405297
PRKAA1,0.466892,0.9,null,0.768,null,PRKAG2,0.242802
PSMB8,0.207839,0.0,null,0.409,null,USP7,0.271541
PSMB8,0.207839,0.72,null,0.963,null,PSMB9,0.357485
PSMB8,0.207839,0.0,null,0.644,null,PSMD6,0.365664
PSMB8,0.207839,0.5,null,0.0,null,UBD,0.507589
RPS5,0.181873,0.0,null,0.8,null,XBP1,0.198946
RORA,0.433377,0.9,null,0.0,null,RORC,0.182466
CALM1,0.20047,0.0,null,0.457,null,SYK,0.538072
CALM1,0.20047,0.9,null,0.0,null,ITPKB,0.33905
CALM1,0.20047,0.5,null,0.469,null,IQGAP1,0.225673
CALM1,0.20047,0.5,null,0.082,null,PPP3CC,0.251189
CALM1,0.20047,0.0,null,0.916,null,MARCKS,0.506821
CALM1,0.20047,0.8,null,0.083,null,CAMK4,0.41971
CALM1,0.20047,0.0,null,0.9,null,NOS1,0.196762
CALM1,0.20047,0.0,null,0.915,null,EEF2K,0.24773
CALM1,0.20047,0.5,null,0.0,null,CNGB1,0.381984
CALM1,0.20047,0.4,null,0.0,null,DLG2,0.408865
CALM1,0.20047,0.7,null,0.457,null,KRAS,0.384712
CALM1,0.20047,0.5,null,0.0,null,GRIK1,0.366205
CALM1,0.20047,0.8,null,0.129,null,DLG3,0.296808
CALM1,0.20047,0.5,null,0.0,null,GRIN2A,0.240603
CALM1,0.20047,0.5,null,0.0,null,GRIK3,0.218635
CALM1,0.20047,0.5,null,0.0,null,GRIK4,0.366384
CALM1,0.20047,0.4,null,0.94,null,CAMK2D,0.338894
CALM1,0.20047,0.0,null,0.913,null,SCN2A,0.384214
CALM1,0.20047,0.4,null,0.0,null,RASGRF2,0.241465
CALM1,0.20047,0.5,null,0.0,null,NFATC2,0.251236
CALM1,0.20047,0.0,null,0.926,null,GRK5,0.187555
CALM1,0.20047,0.0,null,0.423,null,UBR4,0.214882
DAB2,0.327958,0.0,null,0.457,null,SH3KBP1,0.208961
DAB2,0.327958,0.5,null,0.0,null,DNM1,0.274505
DAB2,0.327958,0.0,null,0.445,null,REPS1,0.381473
DAB2,0.327958,0.9,null,0.23,null,LRP2,0.193652
DCTN5,0.30953,0.5,null,0.0,null,KLC1,0.293324
DCTN5,0.30953,0.5,null,0.0,null,KIF3A,0.183256
LGR5,0.89141,null,0.9,null,0.0,LGR6,null
LGR5,0.89141,null,0.5,null,0.9,RNF43,null
LGR5,0.89141,null,0.5,null,0.9,RSPO1,null
LGR5,0.89141,null,0.5,null,0.926,RSPO2,null
LGR5,0.89141,null,0.5,null,0.0,RSPO3,null
LGR5,0.89141,null,0.5,null,0.0,RSPO4,null
LGR5,0.89141,null,0.5,null,0.92,ZNRF3,null
IL1RAP,0.420029,0.5,null,0.521,null,IL1RL1,0.223992
IL1RAP,0.420029,0.5,null,0.292,null,IL1RL2,0.283363
IL1RAP,0.420029,0.9,null,0.543,null,PTPRD,0.328461
ME1,0.567965,0.9,null,0.0,null,ME3,0.289529
MALT1,0.22604,0.5,null,0.292,null,PYCARD,0.251501
LCK,0.376528,0.5,null,0.0,null,TYROBP,0.495729
LCK,0.376528,0.5,null,0.457,null,SYK,0.538072
LCK,0.376528,0.5,null,0.457,null,PTPN6,0.248021
LCK,0.376528,0.5,null,0.0,null,VAV3,0.25453
LCK,0.376528,0.0,null,0.457,null,SH2D2A,0.25218
LCK,0.376528,0.4,null,0.457,null,ZAP70,0.277147
LCK,0.376528,0.4,null,0.457,null,PIK3CA,0.271021
LCK,0.376528,0.0,null,0.469,null,PAG1,0.338129
LCK,0.376528,0.0,null,0.457,null,SH2D1A,0.216899
CDR2,0.192735,0.0,null,0.502,null,IGSF3,0.42632
CDR2,0.192735,0.0,null,0.451,null,SSX3,0.234566
ASAH2,0.830956,0.0,null,0.473,null,MYH4,0.239064
MRC1,0.671587,0.9,null,0.0,null,PLA2R1,0.196126
HUWE1,0.228574,0.0,null,0.457,null,USP7,0.271541
HUWE1,0.228574,0.0,null,0.457,null,MDM2,0.242444
HUWE1,0.228574,0.0,null,0.457,null,USP9X,0.18035
NRXN3,0.702632,0.5,null,0.0,null,SYT9,0.187435
SH3BP1,0.244245,0.0,null,0.619,null,SH3KBP1,0.208961
KIF27,0.287789,0.54,null,0.0,null,KLC1,0.293324
KIF27,0.287789,0.54,null,0.0,null,KIF3A,0.183256
FOXO1,0.485461,0.9,null,0.292,null,SMAD3,0.236565
FOXO1,0.485461,0.0,null,0.457,null,MDM2,0.242444
FOXO1,0.485461,0.9,null,0.0,null,PPARGC1A,0.511683
FOXO1,0.485461,0.5,null,0.0,null,NFYA,0.208727
SLC7A7,0.353286,0.5,null,0.0,null,SLC7A9,0.596208
FBXO3,0.523712,0.0,null,0.414,null,IDS,0.183164
LRIG1,0.265167,0.5,null,0.0,null,SH3KBP1,0.208961
LRIG1,0.265167,0.0,null,0.653,null,LRIG2,0.312487
MTA3,0.368448,0.0,null,0.611,null,PHF20L1,0.429271
CALD1,0.763408,0.5,null,0.0,null,MYL9,0.222691
CALD1,0.763408,0.5,null,0.0,null,TPM2,0.260878
CALD1,0.763408,0.5,null,0.0,null,MYL7,0.270732
PLA2G10,0.215918,0.5,null,0.0,null,PLA2G5,0.290685
ARHGEF17,0.243392,0.0,null,0.422,null,RERG,0.434852
QKI,0.336457,0.5,null,0.0,null,SND1,0.278866
PBX2,0.197792,0.0,null,0.472,null,PBX4,0.487974
PBX2,0.197792,0.0,null,0.428,null,SHOX,0.447986
NR1H4,0.800944,0.0,null,0.928,null,PPARGC1A,0.511683
IL15,0.366822,0.5,null,0.957,null,IL2RB,0.482015
SH3KBP1,0.208961,0.4,null,0.0,null,SYK,0.538072
SH3KBP1,0.208961,0.0,null,0.656,null,STAP1,0.41758
SH3KBP1,0.208961,0.0,null,0.457,null,SYNJ1,0.337364
SH3KBP1,0.208961,0.5,null,0.0,null,TGFA,0.297088
PCIF1,0.257806,0.0,null,0.457,null,PDX1,0.191862
CAPN2,0.257443,0.54,null,0.0,null,CASP1,0.307245
TRRAP,0.21246,0.0,null,0.418,null,WDR37,0.211071
DOK4,0.32212,0.5,null,0.0,null,GFRA1,0.264889
DOK4,0.32212,0.5,null,0.0,null,GDNF,0.227566
MASP2,0.501157,0.0,null,0.405,null,TLL1,0.202619
HLA-DRB1,0.29988,0.54,null,0.641,null,HLA-DRB5,0.367507
HLA-DRB1,0.29988,0.5,null,0.0,null,LCK,0.376528
HLA-DRB1,0.29988,0.5,null,0.0,null,ZAP70,0.277147
HLA-DRB1,0.29988,0.5,null,0.0,null,ITK,0.370003
HLA-DRB1,0.29988,0.9,null,0.165,null,HLA-F,0.268994
HLA-DRB1,0.29988,0.5,null,0.0,null,SEC24D,0.257655
UNK,0.195555,0.0,null,0.438,null,USP34,0.318009
UNK,0.195555,0.0,null,0.506,null,USP9X,0.18035
MBTD1,0.476227,0.54,null,0.0,null,PHF20L1,0.429271
MBTD1,0.476227,0.9,null,0.457,null,TRRAP,0.21246
PCF11,0.255569,0.54,null,0.206,null,WDR33,0.26716
ADCY4,0.304609,0.5,null,0.0,null,GNAI2,0.206293
ADCY4,0.304609,0.9,null,0.255,null,ADCY6,0.29727
HLA-DPA1,0.25235,0.54,null,0.081,null,HLA-DRB5,0.367507
HLA-DPA1,0.25235,0.9,null,0.0,null,HLA-DRA,0.374253
HLA-DPA1,0.25235,0.9,null,0.923,null,HLA-DPB1,0.42847
HLA-DPA1,0.25235,0.5,null,0.0,null,LCK,0.376528
HLA-DPA1,0.25235,0.9,null,0.081,null,HLA-DRB1,0.29988
HLA-DPA1,0.25235,0.5,null,0.0,null,ZAP70,0.277147
HLA-DPA1,0.25235,0.54,null,0.119,null,HLA-DQB1,0.241651
HLA-DPA1,0.25235,0.5,null,0.0,null,ITK,0.370003
HLA-DPA1,0.25235,0.9,null,0.089,null,HLA-F,0.268994
HLA-DPA1,0.25235,0.54,null,0.0,null,HLA-DQA1,0.312064
HLA-DPA1,0.25235,0.5,null,0.0,null,SEC24D,0.257655
RRAGB,0.462603,0.9,null,0.827,null,RRAGC,0.194649
RRAGB,0.462603,0.5,null,0.0,null,TCIRG1,0.200151
KCNQ1,0.466902,0.9,null,0.0,null,KCNQ5,0.321923
NGEF,0.237965,0.0,null,0.483,null,RHOA,0.274713
LIPC,0.488407,0.9,null,0.198,null,PNLIP,0.324893
LIPC,0.488407,0.9,null,0.0,null,LIPG,0.256152
DNM1,0.274505,0.5,null,0.0,null,HLA-DRB5,0.367507
DNM1,0.274505,0.5,null,0.0,null,HLA-DRA,0.374253
DNM1,0.274505,0.5,null,0.0,null,EFNB1,0.66566
DNM1,0.274505,0.5,null,0.0,null,HLA-DPB1,0.42847
DNM1,0.274505,0.0,null,0.9,null,MX1,0.398506
DNM1,0.274505,0.5,null,0.0,null,HLA-DRB1,0.29988
DNM1,0.274505,0.5,null,0.0,null,HLA-DPA1,0.25235
DNM1,0.274505,0.5,null,0.0,null,HLA-DQB1,0.241651
DNM1,0.274505,0.5,null,0.0,null,HLA-DQA1,0.312064
DNM1,0.274505,0.0,null,0.564,null,ITSN1,0.42444
SNRPE,0.257654,0.72,null,0.0,null,TEP1,0.273032
SNRPE,0.257654,0.9,null,0.862,null,SRRM2,0.200946
SNRPE,0.257654,0.0,null,0.8,null,TCERG1,0.204647
NLGN4X,0.660919,0.5,null,0.158,null,NRXN3,0.702632
NLGN4X,0.660919,0.5,null,0.0,null,NLGN4Y,0.339729
RUNX3,0.186492,0.7,null,0.292,null,TCF7L2,0.285741
RUNX3,0.186492,0.9,null,0.0,null,TBX21,0.519408
RUNX3,0.186492,0.5,null,0.292,null,TCF7,0.585482
RUNX3,0.186492,0.5,null,0.457,null,SMAD3,0.236565
HNRNPD,0.271199,0.54,null,0.292,null,PAIP1,0.207518
DIDO1,0.196804,0.0,null,0.457,null,FBXW7,0.334255
DIDO1,0.196804,0.5,null,0.0,null,STAG3,0.189243
SMAD3,0.236565,0.0,null,0.457,null,USP7,0.271541
SMAD3,0.236565,0.5,null,0.0,null,TGFBR2,0.276007
SMAD3,0.236565,0.72,null,0.653,null,SMAD9,0.42442
SMAD3,0.236565,0.5,null,0.96,null,ZFYVE9,0.341266
SMAD3,0.236565,0.0,null,0.498,null,SMURF1,0.227937
SMAD3,0.236565,null,0.9,null,0.963,SMAD4,null
SMAD3,0.236565,null,0.0,null,0.457,TP53,null
DMD,0.547707,0.5,null,0.0,null,TPM2,0.260878
DMD,0.547707,0.5,null,0.0,null,TNNT2,0.188002
DMD,0.547707,0.5,null,0.0,null,LAMC3,0.220002
DMD,0.547707,0.5,null,0.0,null,LAMB1,0.378212
DMD,0.547707,0.5,null,0.0,null,TMOD2,0.187094
DMD,0.547707,0.5,null,0.0,null,LAMC2,0.485799
DMD,0.547707,0.72,null,0.628,null,SNTG1,0.339273
DMD,0.547707,0.9,null,0.0,null,SGCD,0.497899
DMD,0.547707,0.5,null,0.0,null,TNNT1,0.280165
DMD,0.547707,0.0,null,0.616,null,DTNA,0.204487
HELZ,0.187071,0.0,null,0.422,null,PAN3,0.335103
PLXNA2,0.295083,0.54,null,0.0,null,PLXNB2,0.373039
PLXNA2,0.295083,0.5,null,0.422,null,SEMA3A,0.803782
PLXNA2,0.295083,0.54,null,0.0,null,PLXNB3,0.574735
DCLRE1C,0.201481,0.9,null,0.0,null,RAD23B,0.300046
DCLRE1C,0.201481,0.0,null,0.603,null,PRKAA1,0.466892
DCLRE1C,0.201481,0.0,null,0.662,null,PRKAA2,0.405297
DCLRE1C,0.201481,0.0,null,0.653,null,PRKAG2,0.242802
ATP2B1,0.240481,0.0,null,0.473,null,CALM1,0.20047
ATP2B1,0.240481,0.0,null,0.478,null,HSD17B6,0.348717
B4GALT1,0.183554,0.5,null,0.0,null,ZP4,0.269493
PDE9A,0.480076,0.0,null,0.44,null,UNC119,0.19388
ITGB2,0.25966,0.0,null,0.457,null,SYK,0.538072
ITGB2,0.25966,0.9,null,0.0,null,ITGB7,0.302266
ANKRD12,0.216034,0.0,null,0.401,null,SLIT2,0.338354
CCKBR,0.278304,0.0,null,0.422,null,GNAI2,0.206293
CCKBR,0.278304,0.0,null,0.655,null,PRKAA1,0.466892
CD79A,0.351465,0.4,null,0.292,null,SYK,0.538072
CD79A,0.351465,0.5,null,0.0,null,PTPN6,0.248021
CD79A,0.351465,0.8,null,0.857,null,CD79B,0.346212
CD79A,0.351465,0.4,null,0.0,null,SH3KBP1,0.208961
POU2F2,0.194545,0.9,null,0.8,null,POU2F3,0.335624
RICTOR,0.293794,0.0,null,0.457,null,USP9X,0.18035
CALML4,0.203523,0.65,null,0.0,null,CAMK1D,0.41288
CALML4,0.203523,0.65,null,0.05,null,PPP3CC,0.251189
CALML4,0.203523,0.65,null,0.0,null,CAMK4,0.41971
CALML4,0.203523,0.9,null,0.0,null,NOS1,0.196762
SMAD1,0.451537,0.72,null,0.457,null,SMAD3,0.236565
SMAD1,0.451537,0.0,null,0.457,null,USP9X,0.18035
SMAD1,0.451537,0.0,null,0.457,null,ZNF423,0.365824
SMAD1,0.451537,0.9,null,0.0,null,SMAD9,0.42442
SMAD1,0.451537,0.0,null,0.963,null,SMURF1,0.227937
FEM1B,0.211492,0.54,null,0.0,null,ZSWIM6,0.345695
FEM1B,0.211492,0.9,null,0.0,null,PRAME,0.641254
FEM1B,0.211492,0.72,null,0.164,null,GLMN,0.186822
PLXNB3,0.574735,0.9,null,0.082,null,SEMA5A,0.254834
ITGAM,0.30444,0.54,null,0.0,null,ITGB7,0.302266
ITGAM,0.30444,0.9,null,0.926,null,ITGB2,0.25966
CHD1L,0.206363,0.5,null,0.0,null,RAD23B,0.300046
DST,0.709533,0.5,null,0.162,null,RND2,0.426379
DST,0.709533,0.5,null,0.0,null,LAMC2,0.485799
LNPEP,0.212903,0.0,null,0.483,null,TNKS2,0.280131
LNPEP,0.212903,0.5,null,0.0,null,YWHAH,0.234558
ARL6IP5,0.222345,0.0,null,0.481,null,RTN4,0.201032
NLRP1,0.202715,0.9,null,0.292,null,PYCARD,0.251501
TNNT2,0.188002,0.9,null,0.13,null,TPM2,0.260878
MDM2,0.242444,0.5,null,0.618,null,USP7,0.271541
MDM2,0.242444,0.0,null,0.457,null,RBBP6,0.318295
MDM2,0.242444,0.9,null,0.96,null,MDM4,0.235324
MDM2,0.242444,0.7,null,0.292,null,RUNX3,0.186492
MDM2,0.242444,0.0,null,0.457,null,PPARG,0.441383
MDM2,0.242444,0.0,null,0.457,null,UBE2E2,0.192749
MDM2,0.242444,0.0,null,0.457,null,SNAI2,0.208949
DYDC2,0.596277,0.54,null,0.0,null,WDR5B,0.236239
CD3G,0.277416,0.9,null,0.8,null,SYK,0.538072
CD3G,0.277416,0.5,null,0.0,null,HLA-DRB5,0.367507
CD3G,0.277416,0.5,null,0.0,null,VAV3,0.25453
CD3G,0.277416,0.5,null,0.0,null,HLA-DRA,0.374253
CD3G,0.277416,0.4,null,0.0,null,IL7R,0.559269
CD3G,0.277416,0.5,null,0.0,null,HLA-DPB1,0.42847
CD3G,0.277416,0.5,null,0.0,null,LCK,0.376528
CD3G,0.277416,0.5,null,0.0,null,HLA-DRB1,0.29988
CD3G,0.277416,0.5,null,0.0,null,HLA-DPA1,0.25235
CD3G,0.277416,0.9,null,0.621,null,ZAP70,0.277147
CD3G,0.277416,0.5,null,0.0,null,PIK3CA,0.271021
CD3G,0.277416,0.4,null,0.0,null,IGF2R,0.301153
CD3G,0.277416,0.5,null,0.0,null,HLA-DQB1,0.241651
CD3G,0.277416,0.5,null,0.0,null,ITK,0.370003
CD3G,0.277416,0.9,null,0.0,null,CD8A,0.412963
CD3G,0.277416,0.5,null,0.0,null,HLA-F,0.268994
CD3G,0.277416,0.9,null,0.0,null,CD4,0.459962
CD3G,0.277416,0.5,null,0.0,null,HLA-DQA1,0.312064
CD3G,0.277416,0.9,null,0.0,null,CD8B,0.195943
CD3G,0.277416,0.4,null,0.0,null,TF,0.47949
CD3G,0.277416,0.4,null,0.0,null,CFTR,0.243087
EPB41L2,0.192236,0.5,null,0.0,null,NRXN3,0.702632
EPB41L2,0.192236,0.72,null,0.0,null,SPTBN1,0.526969
EPB41L2,0.192236,0.5,null,0.0,null,NLGN4X,0.660919
EPB41L2,0.192236,0.5,null,0.0,null,NLGN4Y,0.339729
CFP,0.271467,0.0,null,0.405,null,NCR1,0.24045
ADA,0.199708,0.0,null,0.967,null,DPP4,0.365543
KLRD1,0.327044,0.9,null,0.0,null,TYROBP,0.495729
KLRD1,0.327044,0.5,null,0.0,null,SYK,0.538072
KLRD1,0.327044,0.5,null,0.0,null,VAV3,0.25453
KLRD1,0.327044,0.5,null,0.0,null,LCK,0.376528
KLRD1,0.327044,0.4,null,0.0,null,KLRK1,0.289105
KLRD1,0.327044,0.5,null,0.0,null,PIK3CA,0.271021
CAPZA3,0.600484,0.5,null,0.0,null,KLC1,0.293324
CAPZA3,0.600484,0.5,null,0.0,null,DCTN5,0.30953
CAPZA3,0.600484,0.5,null,0.0,null,KIF3A,0.183256
CHML,0.477372,0.5,null,0.564,null,RAB5C,0.289933
CHML,0.477372,0.5,null,0.1,null,RAB2A,0.27204
CHML,0.477372,0.5,null,0.0,null,RAB18,0.345602
CHML,0.477372,0.5,null,0.46,null,RAB26,0.185877
CHML,0.477372,0.5,null,0.095,null,RAB3B,0.202409
KLRK1,0.289105,0.7,null,0.041,null,TYROBP,0.495729
KLRK1,0.289105,0.5,null,0.0,null,SYK,0.538072
KLRK1,0.289105,0.5,null,0.0,null,VAV3,0.25453
KLRK1,0.289105,0.5,null,0.0,null,LCK,0.376528
KLRK1,0.289105,0.5,null,0.0,null,PIK3CA,0.271021
EZR,0.222498,0.0,null,0.448,null,RHOA,0.274713
EZR,0.222498,0.9,null,0.458,null,SLC9A3R1,0.229356
EZR,0.222498,0.5,null,0.0,null,SPTBN1,0.526969
EZR,0.222498,0.5,null,0.0,null,MYO15A,0.230702
ARF1,0.303402,0.5,null,0.421,null,RAB5C,0.289933
ARF1,0.303402,0.5,null,0.0,null,HLA-DRB5,0.367507
ARF1,0.303402,0.5,null,0.0,null,SNX2,0.251128
ARF1,0.303402,0.5,null,0.0,null,HLA-DRA,0.374253
ARF1,0.303402,0.5,null,0.0,null,SORT1,0.414631
ARF1,0.303402,0.5,null,0.0,null,HLA-DPB1,0.42847
ARF1,0.303402,0.5,null,0.0,null,HLA-DRB1,0.29988
ARF1,0.303402,0.5,null,0.0,null,HLA-DPA1,0.25235
ARF1,0.303402,0.5,null,0.0,null,DNM1,0.274505
ARF1,0.303402,0.5,null,0.0,null,IGF2R,0.301153
ARF1,0.303402,0.5,null,0.0,null,HLA-DQB1,0.241651
ARF1,0.303402,0.5,null,0.0,null,HLA-DQA1,0.312064
ARF1,0.303402,0.5,null,0.0,null,CTSZ,0.222536
GNA13,0.205327,0.54,null,0.0,null,GNAI2,0.206293
GNA13,0.205327,0.54,null,0.185,null,GNB5,0.263865
GNA13,0.205327,0.54,null,0.895,null,GNG2,0.209126
GNA13,0.205327,0.54,null,0.13,null,GNGT2,0.21966
GNA13,0.205327,0.54,null,0.243,null,GNG12,0.301449
GNA13,0.205327,0.54,null,0.405,null,GNG4,0.351324
CNIH3,0.710583,0.72,null,0.252,null,GRIA4,0.266577
CNIH3,0.710583,0.5,null,0.0,null,TGFA,0.297088
CNIH3,0.710583,0.72,null,0.0,null,GRIN2A,0.240603
CNIH3,0.710583,0.54,null,0.0,null,GRIK3,0.218635
CNIH3,0.710583,0.54,null,0.0,null,GRIK4,0.366384
CNIH3,0.710583,0.5,null,0.0,null,CTSZ,0.222536
CNIH3,0.710583,0.72,null,0.422,null,GRIA2,0.291006
CNIH3,0.710583,0.5,null,0.0,null,SEC24D,0.257655
CNIH3,0.710583,0.54,null,0.0,null,GRID2,0.185128
STT3B,0.413544,0.9,null,0.63,null,TUSC3,0.348706
CD19,0.658515,0.8,null,0.292,null,IFITM1,0.54944
CD19,0.658515,0.8,null,0.0,null,PIK3AP1,0.301761
CD19,0.658515,0.0,null,0.457,null,CD9,0.414755
CD19,0.658515,0.0,null,0.544,null,CD82,0.600213
CD19,0.658515,0.5,null,0.457,null,CR2,0.233698
FLNC,0.643733,0.65,null,0.0,null,ITGA5,0.328094
FLNC,0.643733,0.65,null,0.209,null,ITGB7,0.302266
FLNC,0.643733,0.0,null,0.457,null,SGCD,0.497899
FLNC,0.643733,0.65,null,0.0,null,ITGA10,0.30212
ATXN3,0.38487,0.7,null,0.457,null,RAD23B,0.300046
ATXN3,0.38487,0.0,null,0.457,null,CAPN2,0.257443
APC,0.251227,0.5,0.5,0.0,0.0,TCF7L2,0.285741
APC,0.251227,0.0,null,0.564,null,USP7,0.271541
APC,0.251227,0.5,0.5,0.0,0.0,TCF7,0.585482
APC,0.251227,0.9,0.9,0.549,0.549,SIAH1,0.207217
APC,0.251227,0.9,0.9,0.0,0.0,APC2,0.227729
APC,0.251227,0.9,0.9,0.296,0.296,AXIN2,0.597976
APC,0.251227,0.54,0.54,0.0,0.0,WNT2,0.506612
APC,0.251227,0.54,null,0.0,null,CTNNA2,0.523582
APC,0.251227,0.0,null,0.623,null,PTPN13,0.335318
APC,0.251227,0.72,0.72,0.0,0.0,LRP6,0.299816
APC,0.251227,0.5,0.5,0.0,0.0,LEF1,0.22318
APC,0.251227,0.54,null,0.0,null,CDH8,0.283648
APC,0.251227,0.0,null,0.405,null,PROCR,0.189211
APC,0.251227,0.54,null,0.0,null,CDH4,0.214972
APC,0.251227,0.72,null,0.0,null,CDH2,0.204991
APC,0.251227,null,0.9,null,0.96,AXIN1,null
APC,0.251227,null,0.8,null,0.564,BTRC,null
APC,0.251227,null,0.9,null,0.0,CACYBP,null
APC,0.251227,null,0.0,null,0.564,CSNK1E,null
APC,0.251227,null,0.0,null,0.55,CSNK2A1,null
APC,0.251227,null,0.8,null,0.457,CTBP1,null
APC,0.251227,null,0.9,null,0.975,CTNNB1,null
APC,0.251227,null,0.72,null,0.671,CTNNBIP1,null
APC,0.251227,null,0.5,null,0.0,CUL1,null
APC,0.251227,null,0.9,null,0.457,DVL1,null
APC,0.251227,null,0.9,null,0.434,DVL2,null
APC,0.251227,null,0.9,null,0.0,DVL3,null
APC,0.251227,null,0.54,null,0.0,FZD1,null
APC,0.251227,null,0.9,null,0.564,GSK3B,null
APC,0.251227,null,0.72,null,0.0,LRP5,null
APC,0.251227,null,0.5,null,0.0,RBX1,null
APC,0.251227,null,0.9,null,0.0,SKP1,null
APC,0.251227,null,0.9,null,0.0,TBL1X,null
APC,0.251227,null,0.9,null,0.0,TBL1XR1,null
APC,0.251227,null,0.9,null,0.0,TBL1Y,null
APC,0.251227,null,0.5,null,0.0,TCF7L1,null
APC,0.251227,null,0.72,null,0.0,WNT3,null
LGALS3,0.3776,0.0,null,0.485,null,PRR13,0.182605
MAP3K1,0.188821,0.0,null,0.457,null,RHOA,0.274713
PIK3CA,0.271021,0.5,null,0.0,null,TYROBP,0.495729
PIK3CA,0.271021,0.5,null,0.0,null,SYK,0.538072
PIK3CA,0.271021,0.54,null,0.0,null,SOCS2,0.576723
PIK3CA,0.271021,0.5,null,0.0,null,SH2D2A,0.25218
PIK3CA,0.271021,0.5,null,0.0,null,SPTBN1,0.526969
PIK3CA,0.271021,0.9,null,0.0,null,PIK3R5,0.185246
PIK3CA,0.271021,0.4,null,0.0,null,TGFA,0.297088
IL13,0.445466,0.9,null,0.96,null,IL13RA2,0.493938
IL13,0.445466,0.5,null,0.96,null,IL13RA1,0.241256
LCORL,0.402683,0.0,null,0.493,null,NOL4,0.257465
UBE2E1,0.245255,0.0,null,0.457,null,USP7,0.271541
UBE2E1,0.245255,0.9,null,0.0,null,UBE2E2,0.192749
HIF1A,0.256829,0.0,null,0.457,null,USP7,0.271541
HIF1A,0.256829,0.0,null,0.457,null,TXNIP,0.251659
HIF1A,0.256829,0.0,null,0.457,null,SMAD3,0.236565
HIF1A,0.256829,0.0,null,0.457,null,MDM2,0.242444
NOX1,0.621274,0.9,null,0.0,null,NOX4,0.274995
HES1,0.458469,0.5,null,0.0,null,TLE4,0.439975
CEP68,0.21675,0.0,null,0.422,null,LPXN,0.289209
DNAH7,0.234333,0.54,null,0.0,null,DNHD1,0.385725
DNAH7,0.234333,0.54,null,0.129,null,DNAI1,0.396737
NHSL1,0.248053,0.0,null,0.562,null,WASF1,0.184221
CYFIP2,0.189508,0.8,null,0.751,null,WASF1,0.184221
ATG5,0.192974,0.0,null,0.457,null,OPTN,0.260281
CAPG,0.215292,0.54,null,0.0,null,CAPZA3,0.600484
CAPG,0.215292,0.0,null,0.425,null,SLC2A2,0.289868
IL20RB,0.273865,0.8,null,0.9,null,IL24,0.286334
NF1,0.526644,0.0,null,0.42,null,YWHAH,0.234558
LRP1,0.345881,0.9,null,0.0,null,LRP2,0.193652
KCNQ5,0.321923,0.54,null,0.0,null,SYNJ1,0.337364
MIB1,0.536067,0.0,null,0.42,null,USP9X,0.18035
ITGAL,0.205699,0.9,null,0.0,null,ITGB7,0.302266
ITGAL,0.205699,0.9,null,0.926,null,ITGB2,0.25966
ITGAL,0.205699,0.9,null,0.0,null,ITGAM,0.30444
CLOCK,0.393108,0.0,null,0.497,null,RORC,0.182466
KLHL24,0.227152,0.0,null,0.514,null,KLHL28,0.217298
CD44,0.218277,0.9,null,0.292,null,IQGAP1,0.225673
CD44,0.218277,0.0,null,0.457,null,LCK,0.376528
CD44,0.218277,0.0,null,0.457,null,CD9,0.414755
CD44,0.218277,0.0,null,0.457,null,EZR,0.222498
CD44,0.218277,0.0,null,0.422,null,MLLT11,0.248033
CD44,0.218277,0.0,null,0.457,null,VCAN,0.418094
CD44,0.218277,0.5,null,0.0,null,MMP2,0.329119
CD44,0.218277,0.0,null,0.422,null,LEF1,0.22318
HLX,0.345114,0.0,null,0.608,null,TLE4,0.439975
KIF26B,0.511685,0.54,null,0.0,null,KLC1,0.293324
KIF26B,0.511685,0.54,null,0.0,null,KIF27,0.287789
KIF26B,0.511685,0.54,null,0.0,null,KIF3A,0.183256
ARHGAP5,0.21417,0.0,null,0.584,null,RHOA,0.274713
ARHGAP5,0.21417,0.5,null,0.33,null,RND2,0.426379
CLEC2B,0.258585,0.7,null,0.0,null,KLRF1,0.240498
BCLAF1,0.297224,0.54,null,0.0,null,MED14,0.551394
SIRPG,0.342491,0.8,null,0.0,null,TYROBP,0.495729
SIRPG,0.342491,0.9,null,0.0,null,SYK,0.538072
IGF2R,0.301153,0.4,null,0.0,null,IL7R,0.559269
IGF2R,0.301153,0.4,null,0.0,null,TF,0.47949
ADAM20,0.57896,0.5,null,0.0,null,B4GALT1,0.183554
ADAM20,0.57896,0.5,null,0.0,null,ZP4,0.269493
BACH2,0.360702,0.0,null,0.426,null,CREB5,0.432536
CD86,0.375313,0.4,null,0.0,null,LCK,0.376528
CD86,0.375313,0.4,null,0.0,null,PIK3CA,0.271021
GNG2,0.209126,0.5,null,0.0,null,KCNJ16,0.900883
GNG2,0.209126,0.0,null,0.8,null,S1PR5,0.48247
GNG2,0.209126,0.0,null,0.805,null,S1PR1,0.352409
GNG2,0.209126,0.0,null,0.802,null,PTH2R,0.27847
GNG2,0.209126,0.54,null,0.0,null,GNGT2,0.21966
