p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
CCND1,null,null,0.0,null,0.409,GSK3B,null
CCND1,null,null,0.0,null,0.886,SKP1,null
CCND2,null,null,0.9,null,0.0,CCND3,0.250661
CHD8,null,null,0.9,null,0.457,CTNNB1,null
CHD8,null,null,0.9,null,0.189,RUVBL1,null
CREBBP,null,null,0.9,null,0.0,TCF7L2,0.285741
CREBBP,null,null,0.9,null,0.0,TCF7,0.585482
CREBBP,null,null,0.0,null,0.457,SMAD3,0.236565
CREBBP,null,null,0.0,null,0.457,NFATC2,0.251236
CREBBP,null,null,0.9,null,0.0,LEF1,0.22318
CREBBP,null,null,0.0,null,0.439,CSNK2A1,null
CREBBP,null,null,0.0,null,0.457,CTBP1,null
CREBBP,null,null,0.0,null,0.445,CTBP2,null
CREBBP,null,null,0.5,null,0.457,CTNNB1,null
CREBBP,null,null,0.9,null,0.457,EP300,null
CREBBP,null,null,0.0,null,0.457,JUN,null
CREBBP,null,null,0.0,null,0.457,MYC,null
CREBBP,null,null,0.0,null,0.457,NLK,null
CREBBP,null,null,0.5,null,0.0,TBL1X,null
CREBBP,null,null,0.5,null,0.0,TBL1XR1,null
CREBBP,null,null,0.9,null,0.0,TCF7L1,null
CREBBP,null,null,0.7,null,0.96,TP53,null
CSNK1A1L,null,null,0.9,null,0.0,CTNNB1,null
CSNK1A1L,null,null,0.9,null,0.0,PRKACA,null
CSNK1A1L,null,null,0.9,null,0.0,PRKACB,null
CSNK1A1L,null,null,0.9,null,0.0,PRKACG,null
CSNK1E,null,null,0.8,null,0.457,DVL1,null
CSNK1E,null,null,0.8,null,0.377,DVL2,null
CSNK1E,null,null,0.8,null,0.621,DVL3,null
CSNK1E,null,null,0.9,null,0.165,PRKACA,null
CSNK1E,null,null,0.9,null,0.0,PRKACB,null
CSNK1E,null,null,0.9,null,0.0,PRKACG,null
CSNK1E,null,null,0.0,null,0.457,RNF43,null
CSNK2A1,null,null,0.9,null,0.614,CSNK2A2,null
CSNK2A1,null,null,0.9,null,0.0,CSNK2A3,null
CSNK2A1,null,null,0.9,null,0.976,CSNK2B,null
CSNK2A1,null,null,0.9,null,0.547,DVL1,null
