#node	identifier	node_degree
CD52	9606.ENSP00000363330	0
CD68	9606.ENSP00000250092	0
CD70	9606.ENSP00000395294	0
CD72	9606.ENSP00000259633	1
CD79A	9606.ENSP00000221972	4
CD79B	9606.ENSP00000376544	4
CD82	9606.ENSP00000227155	1
CD86	9606.ENSP00000332049	3
CD8A	9606.ENSP00000386559	10
CD8B	9606.ENSP00000331172	8
CD9	9606.ENSP00000371958	2
CD99	9606.ENSP00000370588	0
CDH2	9606.ENSP00000269141	7
CDH4	9606.ENSP00000484928	6
CDH8	9606.ENSP00000462701	6
CDHR1	9606.ENSP00000485478	0
CDKN2A	9606.ENSP00000418915	5
CDR1	9606.ENSP00000359563	0
CDR2	9606.ENSP00000268383	2
CDS2	9606.ENSP00000419879	0
CDX1	9606.ENSP00000231656	0
CDX2	9606.ENSP00000370408	0
CDY2A	9606.ENSP00000402280	0
CELA1	9606.ENSP00000293636	0
CELA2B	9606.ENSP00000365075	0
CELF6	9606.ENSP00000287202	0
CEMIP	9606.ENSP00000378177	0
CEP68	9606.ENSP00000367229	1
CEP85L	9606.ENSP00000357474	0
CEPT1	9606.ENSP00000441980	0
CFAP206	9606.ENSP00000358575	0
CFAP43	9606.ENSP00000349568	0
CFAP44	9606.ENSP00000377428	0
CFAP45	9606.ENSP00000357079	4
CFC1	9606.ENSP00000259216	2
CFD	9606.ENSP00000468253	0
CFL2	9606.ENSP00000298159	0
CFP	9606.ENSP00000247153	1
CFTR	9606.ENSP00000003084	10
CGNL1	9606.ENSP00000281282	0
CHD1L	9606.ENSP00000358262	3
CHD7	9606.ENSP00000392028	0
CHI3L2	9606.ENSP00000437082	0
CHIC1	9606.ENSP00000362601	0
CHML	9606.ENSP00000355511	6
CHMP2A	9606.ENSP00000469240	2
CHMP4B	9606.ENSP00000217402	3
CHN1	9606.ENSP00000386741	1
CHN2	9606.ENSP00000222792	1
CHRM2	9606.ENSP00000399745	5
CHRNA1	9606.ENSP00000261007	3
CHRNA2	9606.ENSP00000385026	3
CHRNA9	9606.ENSP00000312663	3
CHRND	9606.ENSP00000258385	3
CHST15	9606.ENSP00000333947	1
CHST4	9606.ENSP00000341206	0
CHST7	9606.ENSP00000276055	0
CHST9	9606.ENSP00000480991	0
CHTOP	9606.ENSP00000357679	2
CIITA	9606.ENSP00000485010	1
CITED1	9606.ENSP00000401764	0
CKAP4	9606.ENSP00000367265	1
CKMT2	9606.ENSP00000404203	0
CLBA1	9606.ENSP00000450114	4
CLCA2	9606.ENSP00000359596	0
CLDN5	9606.ENSP00000385477	0
CLEC1A	9606.ENSP00000326407	0
CLEC2B	9606.ENSP00000228438	1
CLEC2D	9606.ENSP00000261340	2
CLEC4A	9606.ENSP00000229332	0
CLIC1	9606.ENSP00000364935	0
CLIC5	9606.ENSP00000185206	5
CLIP2	9606.ENSP00000223398	0
CLIP4	9606.ENSP00000327009	1
CLMN	9606.ENSP00000298912	1
CLNS1A	9606.ENSP00000433919	1
CLOCK	9606.ENSP00000426983	1
CLUL1	9606.ENSP00000441726	0
CMA1	9606.ENSP00000250378	0
CMTM2	9606.ENSP00000268595	0
CMTM3	9606.ENSP00000400482	0
CMTM6	9606.ENSP00000205636	0
CMTM8	9606.ENSP00000307741	0
CNGB1	9606.ENSP00000251102	1
CNIH3	9606.ENSP00000272133	9
CNNM1	9606.ENSP00000349147	0
CNOT6L	9606.ENSP00000424896	3
CNOT8	9606.ENSP00000430493	3
CNTN5	9606.ENSP00000435637	0
COCH	9606.ENSP00000216361	0
COL10A1	9606.ENSP00000327368	2
COL11A1	9606.ENSP00000359114	1
COL14A1	9606.ENSP00000297848	1
COL23A1	9606.ENSP00000375069	0
COL3A1	9606.ENSP00000304408	1
COL4A5	9606.ENSP00000331902	2
COLEC11	9606.ENSP00000411770	2
COLQ	9606.ENSP00000373298	0
COMMD9	9606.ENSP00000263401	15
CORIN	9606.ENSP00000273857	0
CORO1A	9606.ENSP00000219150	0
COX7B2	9606.ENSP00000379784	2
CP	9606.ENSP00000264613	0
CPA6	9606.ENSP00000297770	0
CPEB4	9606.ENSP00000265085	3
CPLX1	9606.ENSP00000305613	3
CPSF6	9606.ENSP00000266679	4
CR2	9606.ENSP00000356024	1
CRADD	9606.ENSP00000439068	0
CRAMP1	9606.ENSP00000380559	0
CREB5	9606.ENSP00000350359	2
CREBRF	9606.ENSP00000296953	0
CRIM1	9606.ENSP00000280527	0
CRKL	9606.ENSP00000346300	7
CRP	9606.ENSP00000255030	0
CSN1S1	9606.ENSP00000246891	0
CSRP2	9606.ENSP00000310901	0
CTAG2	9606.ENSP00000247306	0
CTC1	9606.ENSP00000498499	1
CTNNA2	9606.ENSP00000384638	7
CTSH	9606.ENSP00000220166	0
CTSO	9606.ENSP00000414904	0
CTSS	9606.ENSP00000357981	0
CTSZ	9606.ENSP00000217131	4
CTTNBP2NL	9606.ENSP00000271277	2
CUEDC1	9606.ENSP00000462717	0
CX3CL1	9606.ENSP00000006053	4
CXCL11	9606.ENSP00000306884	6
CXCL13	9606.ENSP00000286758	4
CXCL17	9606.ENSP00000472467	2
CXCR6	9606.ENSP00000395704	7
CXXC5	9606.ENSP00000302543	0
CYB561D1	9606.ENSP00000358884	0
CYBB	9606.ENSP00000367851	3
CYFIP2	9606.ENSP00000479719	2
CYLC1	9606.ENSP00000331556	0
CYLC2	9606.ENSP00000420256	0
CYLD	9606.ENSP00000392025	1
CYP21A2	9606.ENSP00000496625	0
CYP27A1	9606.ENSP00000258415	0
CYP2A13	9606.ENSP00000332679	0
CYP39A1	9606.ENSP00000275016	0
CYSLTR2	9606.ENSP00000282018	0
CYTH1	9606.ENSP00000389095	3
CYTH3	9606.ENSP00000297044	3
DAB2	9606.ENSP00000313391	4
DAPL1	9606.ENSP00000309538	2
DAZ1	9606.ENSP00000384573	0
DBI	9606.ENSP00000486361	3
DCAF13	9606.ENSP00000297579	6
DCAF8	9606.ENSP00000357052	5
DCLRE1C	9606.ENSP00000367527	5
DCP2	9606.ENSP00000373715	4
DCT	9606.ENSP00000392762	0
DCTN5	9606.ENSP00000300087	6
DCX	9606.ENSP00000490614	0
DDA1	9606.ENSP00000352928	4
DDC	9606.ENSP00000403644	0
DDHD1	9606.ENSP00000500986	0
DDIT4L	9606.ENSP00000354830	0
DDO	9606.ENSP00000357920	1
DDR1	9606.ENSP00000427552	0
DDX17	9606.ENSP00000380033	1
DEFB103A	9606.ENSP00000320951	1
